#1:kx	2:ky	3:E1	4:E2
0.376991	1.13097	-2.63287	2.63287
0.376991	1.25664	-2.61249	2.61249
0.376991	1.3823	-2.59108	2.59108
0.376991	1.50796	-2.56896	2.56896
0.376991	1.63363	-2.54648	2.54648
0.376991	1.75929	-2.52397	2.52397
0.376991	1.88496	-2.50181	2.50181
0.376991	2.01062	-2.48034	2.48034
0.376991	2.13628	-2.45994	2.45994
0.376991	2.26195	-2.44096	2.44096
0.376991	2.38761	-2.42372	2.42372
0.376991	2.51327	-2.40855	2.40855
0.376991	2.63894	-2.39572	2.39572
0.376991	2.7646	-2.38548	2.38548
0.376991	2.89027	-2.37802	2.37802
0.376991	3.01593	-2.37348	2.37348
0.376991	3.14159	-2.37196	2.37196
0.376991	3.26726	-2.37348	2.37348
0.376991	3.39292	-2.37802	2.37802
0.376991	3.51858	-2.38548	2.38548
0.376991	3.64425	-2.39572	2.39572
0.376991	3.76991	-2.40855	2.40855
0.376991	3.89557	-2.42372	2.42372
0.376991	4.02124	-2.44096	2.44096
0.376991	4.1469	-2.45994	2.45994
0.376991	4.27257	-2.48034	2.48034
0.376991	4.39823	-2.50181	2.50181
0.376991	4.52389	-2.52397	2.52397
0.376991	4.64956	-2.54648	2.54648
0.376991	4.77522	-2.56896	2.56896
0.376991	4.90088	-2.59108	2.59108
0.376991	5.02655	-2.61249	2.61249
0.376991	5.15221	-2.63287	2.63287
0.376991	5.27788	-2.65195	2.65195
0.376991	5.40354	-2.66943	2.66943
0.376991	5.5292	-2.68509	2.68509
0.376991	5.65487	-2.69871	2.69871
0.376991	5.78053	-2.7101	2.7101
0.376991	5.90619	-2.71912	2.71912
0.376991	6.03186	-2.72565	2.72565
0.376991	6.15752	-2.7296	2.7296

0.502655	0	-2.65926	2.65926
0.502655	0.125664	-2.65905	2.65905
0.502655	0.251327	-2.65841	2.65841
0.502655	0.376991	-2.65737	2.65737
0.502655	0.502655	-2.65592	2.65592
0.502655	0.628319	-2.65411	2.65411
0.502655	0.753982	-2.65195	2.65195
0.502655	0.879646	-2.64947	2.64947
0.502655	1.00531	-2.64672	2.64672
0.502655	1.13097	-2.64374	2.64374
0.502655	1.25664	-2.64057	2.64057
0.502655	1.3823	-2.63727	2.63727
0.502655	1.50796	-2.63388	2.63388
0.502655	1.63363	-2.63047	2.63047
0.502655	1.75929	-2.62707	2.62707
0.502655	1.88496	-2.62375	2.62375
0.502655	2.01062	-2.62056	2.62056
0.502655	2.13628	-2.61755	2.61755
0.502655	2.26195	-2.61477	2.61477
0.502655	2.38761	-2.61226	2.61226
0.502655	2.51327	-2.61006	2.61006
0.502655	2.63894	-2.60821	2.60821
0.502655	2.7646	-2.60674	2.60674
0.502655	2.89027	-2.60567	2.60567
0.502655	3.01593	-2.60503	2.60503
0.502655	3.14159	-2.60481	2.60481
0.502655	3.26726	-2.60503	2.60503
0.502655	3.39292	-2.60567	2.60567
0.502655	3.51858	-2.60674	2.60674
0.502655	3.64425	-2.60821	2.60821
0.502655	3.76991	-2.61006	2.61006
0.502655	3.89557	-2.61226	2.61226
0.502655	4.02124	-2.61477	2.61477
0.502655	4.1469	-2.61755	2.61755
0.502655	4.27257	-2.62056	2.62056
0.502655	4.39823	-2.62375	2.62375
0.502655	4.52389	-2.62707	2.62707
0.502655	4.64956	-2.63047	2.63047
0.502655	4.77522	-2.63388	2.63388
0.502655	4.90088	-2.63727	2.63727
0.502655	5.02655	-2.64057	2.64057
0.502655	5.15221	-2.64374	2.64374
0.502655	5.27788	-2.64672	2.64672
0.502655	5.40354	-2.64947	2.64947
0.502655	5.5292	-2.65195	2.65195
0.502655	5.65487	-2.65411	2.65411
0.502655	5.78053	-2.65592	2.65592
0.502655	5.90619	-2.65737	2.65737
0.502655	6.03186	-2.65841	2.65841
0.502655	6.15752	-2.65905	2.65905

0.628319	0	-2.57255	2.57255
0.628319	0.125664	-2.57372	2.57372
0.628319	0.251327	-2.57721	2.57721
0.628319	0.376991	-2.58296	2.58296
0.628319	0.502655	-2.59085	2.59085
0.628319	0.628319	-2.60076	2.60076
0.628319	0.753982	-2.61249	2.61249
0.628319	0.879646	-2.62584	2.62584
0.628319	1.00531	-2.64057	2.64057
0.628319	1.13097	-2.65644	2.65644
0.628319	1.25664	-2.67318	2.67318
0.628319	1.3823	-2.69051	2.69051
0.628319	1.50796	-2.70814	2.70814
0.628319	1.63363	-2.72579	2.72579
0.628319	1.75929	-2.74319	2.74319
0.628319	1.88496	-2.76008	2.76008
0.628319	2.01062	-2.77619	2.77619
0.628319	2.13628	-2.79129	2.79129
0.628319	2.26195	-2.80516	2.80516
0.628319	2.38761	-2.8176	2.8176
0.628319	2.51327	-2.82843	2.82843
0.628319	2.63894	-2.8375	2.8375
0.628319	2.7646	-2.84469	2.84469
0.628319	2.89027	-2.84989	2.84989
0.628319	3.01593	-2.85305	2.85305
0.628319	3.14159	-2.8541	2.8541
0.628319	3.26726	-2.85305	2.85305
0.628319	3.39292	-2.84989	2.84989
0.628319	3.51858	-2.84469	2.84469
0.628319	3.64425	-2.8375	2.8375
0.628319	3.76991	-2.82843	2.82843
0.628319	3.89557	-2.8176	2.8176
0.628319	4.02124	-2.80516	2.80516
0.628319	4.1469	-2.79129	2.79129
0.628319	4.27257	-2.77619	2.77619
0.628319	4.39823	-2.76008	2.76008
0.628319	4.52389	-2.74319	2.74319
0.628319	4.64956	-2.72579	2.72579
0.628319	4.77522	-2.70814	2.70814
0.628319	4.90088	-2.69051	2.69051
0.628319	5.02655	-2.67318	2.67318
0.628319	5.15221	-2.65644	2.65644
0.628319	5.27788	-2.64057	2.64057
0.628319	5.40354	-2.62584	2.62584
0.628319	5.5292	-2.61249	2.61249
0.628319	5.65487	-2.60076	2.60076
0.628319	5.78053	-2.59085	2.59085
0.628319	5.90619	-2.58296	2.58296
0.628319	6.03186	-2.57721	2.57721
0.628319	6.15752	-2.57372	2.57372

0.753982	0	-2.47499	2.47499
0.753982	0.125664	-2.47778	2.47778
0.753982	0.251327	-2.48607	2.48607
0.753982	0.376991	-2.49968	2.49968
0.753982	0.502655	-2.51831	2.51831
0.753982	0.628319	-2.54157	2.54157
0.753982	0.753982	-2.56896	2.56896
0.753982	0.879646	-2.59994	2.59994
0.753982	1.00531	-2.63388	2.63388
0.753982	1.13097	-2.67017	2.67017
0.753982	1.25664	-2.70814	2.70814
0.753982	1.3823	-2.74713	2.74713
0.753982	1.50796	-2.7865	2.7865
0.753982	1.63363	-2.82564	2.82564
0.753982	1.75929	-2.86393	2.86393
0.753982	1.88496	-2.90083	2.90083
0.753982	2.01062	-2.93582	2.93582
0.753982	2.13628	-2.96842	2.96842
0.753982	2.26195	-2.99819	2.99819
0.753982	2.38761	-3.02478	3.02478
