#1:n	2:kx	3:s(n,kx)
6	24	8.3463e-16
6	25	8.53993e-16
6	26	8.47672e-16
6	27	8.71807e-16
6	28	8.79374e-16
6	29	8.78543e-16
6	30	8.77454e-16
6	31	8.96886e-16
6	32	8.69805e-16
6	33	8.84426e-16
6	34	8.80471e-16
6	35	8.70234e-16
6	36	8.79011e-16
6	37	8.68687e-16
6	38	8.66459e-16
6	39	8.59203e-16

7	0	8.21329e-16
7	1	8.57312e-16
7	2	8.53713e-16
7	3	8.55024e-16
7	4	8.76426e-16
7	5	8.61647e-16
7	6	8.73856e-16
7	7	8.70856e-16
7	8	8.74293e-16
7	9	8.89214e-16
7	10	8.69855e-16
7	11	8.73371e-16
7	12	8.81687e-16
7	13	8.61364e-16
7	14	8.697e-16
7	15	8.46699e-16
7	16	8.38184e-16
7	17	8.24021e-16
7	18	8.3149e-16
7	19	8.27742e-16
7	20	8.14196e-16
7	21	8.41012e-16
7	22	8.49368e-16
7	23	8.44597e-16
7	24	8.71449e-16
7	25	8.61375e-16
7	26	8.47912e-16
7	27	8.80081e-16
7	28	8.83191e-16
7	29	8.79889e-16
7	30	8.82426e-16
7	31	8.98304e-16
7	32	8.7415e-16
7	33	8.8478e-16
7	34	8.92164e-16
7	35	8.72669e-16
7	36	8.87791e-16
7	37	8.71047e-16
7	38	8.81157e-16
7	39	8.60591e-16

8	0	8.25211e-16
8	1	8.64327e-16
8	2	8.55526e-16
8	3	8.6189e-16
8	4	8.77689e-16
8	5	8.70471e-16
8	6	8.7662e-16
8	7	8.77079e-16
8	8	8.8187e-16
8	9	8.9258e-16
8	10	8.71003e-16
8	11	8.76948e-16
8	12	8.939e-16
8	13	8.77446e-16
8	14	8.81018e-16
8	15	8.47475e-16
8	16	8.38657e-16
8	17	8.24119e-16
8	18	8.33619e-16
8	19	8.27875e-16
8	20	8.17195e-16
8	21	8.44372e-16
8	22	8.49889e-16
8	23	8.45491e-16
8	24	8.76071e-16
8	25	8.69717e-16
8	26	8.54453e-16
8	27	8.83213e-16
8	28	8.84602e-16
8	29	8.93609e-16
8	30	9.12111e-16
8	31	8.99862e-16
8	32	8.75032e-16
8	33	8.90984e-16
8	34	8.94922e-16
8	35	8.76524e-16
8	36	8.89107e-16
8	37	8.72478e-16
8	38	8.81169e-16
8	39	8.67782e-16

9	0	8.35544e-16
9	1	8.6493e-16
9	2	8.57102e-16
9	3	8.66081e-16
9	4	8.82841e-16
9	5	8.73627e-16
9	6	8.79394e-16
9	7	8.81179e-16
9	8	8.90355e-16
9	9	8.95215e-16
9	10	8.71006e-16
9	11	8.87692e-16
9	12	8.99955e-16
9	13	8.83012e-16
9	14	9.00011e-16
9	15	8.47948e-16
9	16	8.44789e-16
9	17	8.49336e-16
9	18	8.52016e-16
9	19	8.44379e-16
9	20	8.31558e-16
9	21	8.50378e-16
9	22	8.50609e-16
9	23	8.49131e-16
9	24	8.8068e-16
9	25	8.81809e-16
9	26	8.6816e-16
9	27	8.89501e-16
9	28	8.96438e-16
9	29	9.02574e-16
9	30	9.15892e-16
9	31	9.00997e-16
9	32	8.792e-16
9	33	8.92433e-16
9	34	8.96214e-16
9	35	8.94769e-16
9	36	8.89932e-16
9	37	8.73945e-16
9	38	8.96569e-16
9	39	8.72323e-16

10	0	8.45649e-16
10	1	8.78321e-16
10	2	8.68165e-16
10	3	8.67876e-16
10	4	8.83551e-16
10	5	8.74463e-16
10	6	8.8401e-16
10	7	8.9684e-16
10	8	8.93334e-16
10	9	9.06375e-16
10	10	8.9481e-16
10	11	9.04323e-16
10	12	9.15375e-16
10	13	8.88343e-16
10	14	9.01581e-16
10	15	8.51259e-16
10	16	8.53038e-16
10	17	8.51166e-16
10	18	8.66163e-16
10	19	8.52874e-16
10	20	8.47066e-16
10	21	8.52927e-16
10	22	8.54816e-16
10	23	8.54496e-16
10	24	8.88149e-16
10	25	9.04125e-16
10	26	8.87327e-16
10	27	8.9938e-16
10	28	9.17636e-16
10	29	9.04155e-16
10	30	9.21858e-16
10	31	9.03028e-16
10	32	8.83291e-16
10	33	8.98919e-16
10	34	9.05517e-16
10	35	9.00263e-16
10	36	8.96453e-16
10	37	8.78145e-16
10	38	8.99901e-16
10	39	8.82348e-16

11	0	8.46419e-16
11	1	8.80009e-16
11	2	8.7107e-16
11	3	8.69404e-16
11	4	9.01546e-16
11	5	8.88625e-16
11	6	9.03364e-16
11	7	9.01366e-16
11	8	9.12179e-16
11	9	9.07047e-16
11	10	9.05702e-16
11	11	9.05407e-16
11	12	9.18101e-16
11	13	8.95127e-16
11	14	9.15717e-16
11	15	8.54565e-16
11	16	8.5961e-16
11	17	8.60852e-16
11	18	8.68342e-16
11	19	8.69873e-16
11	20	8.51054e-16
11	21	8.56061e-16
11	22	8.58698e-16
11	23	8.79457e-16
11	24	8.91807e-16
11	25	9.05109e-16
11	26	9.02533e-16
11	27	9.13638e-16
11	28	9.25967e-16
11	29	9.1226e-16
11	30	9.3053e-16
11	31	9.03497e-16
11	32	8.90426e-16
11	33	9.01245e-16
11	34	9.1302e-16
11	35	9.05206e-16
11	36	9.00603e-16
11	37	8.84103e-16
11	38	9.0084e-16
11	39	9.05383e-16

12	0	8.50895e-16
12	1	8.91597e-16
12	2	8.77831e-16
12	3	8.76423e-16
12	4	9.06033e-16
12	5	8.93809e-16
12	6	9.08037e-16
12	7	9.02381e-16
12	8	9.20487e-16
12	9	9.08537e-16
12	10	9.18199e-16
12	11	9.13087e-16
12	12	9.2119e-16
12	13	9.01084e-16
12	14	9.16014e-16
12	15	8.60901e-16
12	16	8.81466e-16
12	17	8.68741e-16
12	18	8.68555e-16
12	19	8.72544e-16
12	20	8.58511e-16
12	21	8.67996e-16
12	22	8.63375e-16
12	23	8.8747e-16
12	24	9.01259e-16
12	25	9.07524e-16
12	26	9.03431e-16
12	27	9.2552e-16
12	28	9.32172e-16
12	29	9.28746e-16
12	30	9.39549e-16
12	31	9.23933e-16
12	32	8.93797e-16
12	33	9.04321e-16
12	34	9.17596e-16
12	35	9.17397e-16
12	36	9.04574e-16
12	37	9.07552e-16
12	38	9.14142e-16
12	39	9.28458e-16

13	0	8.70429e-16
13	1	8.95067e-16
13	2	8.93866e-16
13	3	8.81713e-16
13	4	9.08773e-16
13	5	8.95529e-16
13	6	9.11484e-16
13	7	9.09961e-16
13	8	9.32605e-16
13	9	9.15112e-16
13	10	9.19961e-16
13	11	9.22744e-16
13	12	9.23368e-16
13	13	9.10887e-16
13	14	9.17737e-16
13	15	9.27938e-16
13	16	8.98782e-16
13	17	8.71737e-16
13	18	8.73753e-16
13	19	8.90964e-16
13	20	8.59099e-16
13	21	8.74195e-16
13	22	9.03636e-16
13	23	8.88076e-16
13	24	9.05988e-16
13	25	9.26845e-16
13	26	9.09212e-16
13	27	9.48201e-16
13	28	9.35448e-16
13	29	9.31897e-16
13	30	9.67041e-16
13	31	9.4522e-16
13	32	9.08562e-16
13	33	9.04543e-16
13	34	9.20003e-16
13	35	9.31621e-16
13	36	9.09937e-16
13	37	9.09349e-16
13	38	9.23819e-16
13	39	9.53396e-16

14	0	8.70939e-16
14	1	9.009e-16
14	2	9.15292e-16
14	3	8.98788e-16
