#1:kx	2:n	3:s(n)
2	65	9.64455e-18
2	66	9.41378e-18
2	67	9.17988e-18
2	68	9.14266e-18
2	69	8.9568e-18
2	70	9.07695e-18
2	71	8.89374e-18
2	72	8.95835e-18
2	73	8.94589e-18
2	74	9.1038e-18
2	75	8.98117e-18
2	76	9.03117e-18
2	77	9.09926e-18
2	78	8.99198e-18
2	79	9.19609e-18
2	80	9.1281e-18
2	81	9.11553e-18
2	82	9.16928e-18
2	83	9.27235e-18
2	84	9.12659e-18
2	85	9.20656e-18
2	86	9.17443e-18
2	87	9.23454e-18
2	88	9.37614e-18
2	89	9.4433e-18
2	90	9.42009e-18
2	91	9.58127e-18
2	92	9.73966e-18
2	93	9.8831e-18
2	94	1.00101e-17
2	95	1.01193e-17
2	96	1.02099e-17
2	97	1.02811e-17
2	98	1.03323e-17
2	99	1.03632e-17

3	0	1.03735e-17
3	1	1.03632e-17
3	2	1.03323e-17
3	3	1.02811e-17
3	4	1.02099e-17
3	5	1.01193e-17
3	6	1.00101e-17
3	7	9.8831e-18
3	8	9.73966e-18
3	9	9.58127e-18
3	10	9.40977e-18
3	11	9.22741e-18
3	12	9.03687e-18
3	13	8.88817e-18
3	14	8.86597e-18
3	15	8.76303e-18
3	16	8.81153e-18
3	17	8.83142e-18
3	18	8.81988e-18
3	19	8.86039e-18
3	20	8.94406e-18
3	21	8.7584e-18
3	22	8.87657e-18
3	23	8.87988e-18
3	24	8.88216e-18
3	25	8.71033e-18
3	26	8.83221e-18
3	27	8.96788e-18
3	28	8.94043e-18
3	29	9.08833e-18
3	30	9.06256e-18
3	31	8.90379e-18
3	32	9.09249e-18
3	33	9.17988e-18
3	34	9.41378e-18
3	35	9.64455e-18
3	36	9.86931e-18
3	37	1.00856e-17
3	38	1.02915e-17
3	39	1.04851e-17
3	40	1.06652e-17
3	41	1.08306e-17
3	42	1.09804e-17
3	43	1.11139e-17
3	44	1.12306e-17
3	45	1.13299e-17
3	46	1.14116e-17
3	47	1.14754e-17
3	48	1.15211e-17
3	49	1.15485e-17
3	50	1.15577e-17
3	51	1.15485e-17
3	52	1.15211e-17
3	53	1.14754e-17
3	54	1.14116e-17
3	55	1.13299e-17
3	56	1.12306e-17
3	57	1.11139e-17
3	58	1.09804e-17
3	59	1.08306e-17
3	60	1.06652e-17
3	61	1.04851e-17
3	62	1.02915e-17
3	63	1.00856e-17
3	64	9.86931e-18
3	65	9.64455e-18
3	66	9.41378e-18
3	67	9.17988e-18
3	68	9.14542e-18
3	69	9.02776e-18
3	70	9.0963e-18
3	71	9.00299e-18
3	72	8.97372e-18
3	73	9.00677e-18
3	74	9.15684e-18
3	75	8.98751e-18
