#1:tx	2:ty	3:weight
3.14159	1.5708	0.0124118
3.14159	1.88496	0.0126261
3.14159	2.19911	0.0129611
3.14159	2.51327	0.0133118
3.14159	2.82743	0.0135723
3.14159	3.14159	0.0136679
3.14159	3.45575	0.0135723
3.14159	3.76991	0.0133118
3.14159	4.08407	0.0129611
3.14159	4.39823	0.0126261
3.14159	4.71239	0.0124118
3.14159	5.02655	0.0123796
3.14159	5.34071	0.0125161
3.14159	5.65487	0.0127379
3.14159	5.96903	0.0129327

3.45575	0	0.0128921
3.45575	0.314159	0.0128164
3.45575	0.628319	0.012624
3.45575	0.942478	0.0124057
3.45575	1.25664	0.0122734
3.45575	1.5708	0.0123096
3.45575	1.88496	0.012527
3.45575	2.19911	0.0128641
3.45575	2.51327	0.0132158
3.45575	2.82743	0.0134766
3.45575	3.14159	0.0135723
3.45575	3.45575	0.0134766
3.45575	3.76991	0.0132158
3.45575	4.08407	0.0128641
3.45575	4.39823	0.012527
3.45575	4.71239	0.0123096
3.45575	5.02655	0.0122734
3.45575	5.34071	0.0124057
3.45575	5.65487	0.012624
3.45575	5.96903	0.0128164

3.76991	0	0.0125724
3.76991	0.314159	0.0124988
3.76991	0.628319	0.0123124
3.76991	0.942478	0.0121033
3.76991	1.25664	0.011982
3.76991	1.5708	0.0120291
3.76991	1.88496	0.0122555
3.76991	2.19911	0.0125986
3.76991	2.51327	0.0129536
3.76991	2.82743	0.0132158
3.76991	3.14159	0.0133118
3.76991	3.45575	0.0132158
3.76991	3.76991	0.0129536
3.76991	4.08407	0.0125986
3.76991	4.39823	0.0122555
3.76991	4.71239	0.0120291
3.76991	5.02655	0.011982
3.76991	5.34071	0.0121033
3.76991	5.65487	0.0123124
3.76991	5.96903	0.0124988

4.08407	0	0.0121412
4.08407	0.314159	0.0120698
4.08407	0.628319	0.0118897
4.08407	0.942478	0.0116909
4.08407	1.25664	0.0115829
4.08407	1.5708	0.0116444
4.08407	1.88496	0.0118841
4.08407	2.19911	0.0122373
4.08407	2.51327	0.0125986
4.08407	2.82743	0.0128641
4.08407	3.14159	0.0129611
4.08407	3.45575	0.0128641
4.08407	3.76991	0.0125986
4.08407	4.08407	0.0122373
4.08407	4.39823	0.0118841
4.08407	4.71239	0.0116444
4.08407	5.02655	0.0115829
4.08407	5.34071	0.0116909
4.08407	5.65487	0.0118897
4.08407	5.96903	0.0120698

4.39823	0	0.0117326
4.39823	0.314159	0.0116616
4.39823	0.628319	0.0114835
4.39823	0.942478	0.0112893
4.39823	1.25664	0.0111898
4.39823	1.5708	0.0112638
4.39823	1.88496	0.0115177
4.39823	2.19911	0.0118841
4.39823	2.51327	0.0122555
4.39823	2.82743	0.012527
4.39823	3.14159	0.0126261
4.39823	3.45575	0.012527
4.39823	3.76991	0.0122555
4.39823	4.08407	0.0118841
4.39823	4.39823	0.0115177
4.39823	4.71239	0.0112638
4.39823	5.02655	0.0111898
4.39823	5.34071	0.0112893
4.39823	5.65487	0.0114835
4.39823	5.96903	0.0116616

4.71239	0	0.0114858
4.71239	0.314159	0.0114119
4.71239	0.628319	0.0112262
4.71239	0.942478	0.0110241
4.71239	1.25664	0.010921
4.71239	1.5708	0.010999
4.71239	1.88496	0.0112638
4.71239	2.19911	0.0116444
4.71239	2.51327	0.0120291
4.71239	2.82743	0.0123096
4.71239	3.14159	0.0124118
4.71239	3.45575	0.0123096
4.71239	3.76991	0.0120291
4.71239	4.08407	0.0116444
4.71239	4.39823	0.0112638
4.71239	4.71239	0.010999
4.71239	5.02655	0.010921
4.71239	5.34071	0.0110241
4.71239	5.65487	0.0112262
4.71239	5.96903	0.0114119

5.02655	0	0.0114855
5.02655	0.314159	0.0114045
5.02655	0.628319	0.0112001
5.02655	0.942478	0.0109744
5.02655	1.25664	0.0108517
5.02655	1.5708	0.010921
5.02655	1.88496	0.0111898
5.02655	2.19911	0.0115829
5.02655	2.51327	0.011982
5.02655	2.82743	0.0122734
5.02655	3.14159	0.0123796
5.02655	3.45575	0.0122734
5.02655	3.76991	0.011982
5.02655	4.08407	0.0115829
5.02655	4.39823	0.0111898
5.02655	4.71239	0.010921
5.02655	5.02655	0.0108517
5.02655	5.34071	0.0109744
5.02655	5.65487	0.0112001
5.02655	5.96903	0.0114045

5.34071	0	0.011712
5.34071	0.314159	0.0116211
5.34071	0.628319	0.0113901
5.34071	0.942478	0.0111293
5.34071	1.25664	0.0109744
5.34071	1.5708	0.0110241
5.34071	1.88496	0.0112893
5.34071	2.19911	0.0116909
5.34071	2.51327	0.0121033
5.34071	2.82743	0.0124057
5.34071	3.14159	0.0125161
5.34071	3.45575	0.0124057
5.34071	3.76991	0.0121033
5.34071	4.08407	0.0116909
5.34071	4.39823	0.0112893
5.34071	4.71239	0.0110241
5.34071	5.02655	0.0109744
5.34071	5.34071	0.0111293
5.34071	5.65487	0.0113901
5.34071	5.96903	0.0116211

5.65487	0	0.012047
5.65487	0.314159	0.0119461
5.65487	0.628319	0.0116877
5.65487	0.942478	0.0113901
5.65487	1.25664	0.0112001
5.65487	1.5708	0.0112262
5.65487	1.88496	0.0114835
5.65487	2.19911	0.0118897
5.65487	2.51327	0.0123124
5.65487	2.82743	0.012624
5.65487	3.14159	0.0127379
5.65487	3.45575	0.012624
5.65487	3.76991	0.0123124
5.65487	4.08407	0.0118897
5.65487	4.39823	0.0114835
5.65487	4.71239	0.0112262
5.65487	5.02655	0.0112001
5.65487	5.34071	0.0113901
5.65487	5.65487	0.0116877
5.65487	5.96903	0.0119461

5.96903	0	0.0123329
5.96903	0.314159	0.0122246
5.96903	0.628319	0.0119461
5.96903	0.942478	0.0116211
5.96903	1.25664	0.0114045
5.96903	1.5708	0.0114119
5.96903	1.88496	0.0116616
5.96903	2.19911	0.0120698
5.96903	2.51327	0.0124988
5.96903	2.82743	0.0128164
5.96903	3.14159	0.0129327
5.96903	3.45575	0.0128164
5.96903	3.76991	0.0124988
5.96903	4.08407	0.0120698
5.96903	4.39823	0.0116616
5.96903	4.71239	0.0114119
5.96903	5.02655	0.0114045
5.96903	5.34071	0.0116211
5.96903	5.65487	0.0119461
5.96903	5.96903	0.0122246

