#1:n	2:kx	3:s(n,kx)
2	64	8.17365e-16
2	65	8.04781e-16
2	66	7.91548e-16
2	67	7.77824e-16
2	68	7.77667e-16
2	69	7.753e-16
2	70	7.78037e-16
2	71	7.61755e-16
2	72	7.80397e-16
2	73	7.88051e-16
2	74	7.83041e-16
2	75	7.88424e-16
2	76	7.8797e-16
2	77	8.01113e-16
2	78	8.0092e-16
2	79	8.08182e-16
2	80	8.08283e-16
2	81	8.01966e-16
2	82	8.0377e-16
2	83	7.93327e-16
2	84	7.9899e-16
2	85	7.96824e-16
2	86	8.00004e-16
2	87	8.05868e-16
2	88	8.06501e-16
2	89	7.9801e-16
2	90	8.04319e-16
2	91	8.15044e-16
2	92	8.24787e-16
2	93	8.33471e-16
2	94	8.41046e-16
2	95	8.47479e-16
2	96	8.52751e-16
2	97	8.56855e-16
2	98	8.59786e-16
2	99	8.61545e-16

3	0	8.62131e-16
3	1	8.61545e-16
3	2	8.59786e-16
3	3	8.56855e-16
3	4	8.52751e-16
3	5	8.47479e-16
3	6	8.41046e-16
3	7	8.33471e-16
3	8	8.24787e-16
3	9	8.15044e-16
3	10	8.04319e-16
3	11	7.92717e-16
3	12	7.80384e-16
3	13	7.67506e-16
3	14	7.7199e-16
3	15	7.64296e-16
3	16	7.7636e-16
3	17	7.70802e-16
3	18	7.74235e-16
3	19	7.79881e-16
3	20	7.81124e-16
3	21	7.87308e-16
3	22	7.82959e-16
3	23	7.7963e-16
3	24	7.84272e-16
3	25	7.67643e-16
3	26	7.75828e-16
3	27	7.79943e-16
3	28	7.80865e-16
3	29	7.69159e-16
3	30	7.72233e-16
3	31	7.60323e-16
3	32	7.69257e-16
3	33	7.77824e-16
3	34	7.91548e-16
3	35	8.04781e-16
3	36	8.17365e-16
3	37	8.29182e-16
3	38	8.40151e-16
3	39	8.50217e-16
3	40	8.59354e-16
3	41	8.67552e-16
3	42	8.74813e-16
3	43	8.81151e-16
3	44	8.86584e-16
3	45	8.91133e-16
3	46	8.94821e-16
3	47	8.97665e-16
3	48	8.99684e-16
3	49	9.00891e-16
3	50	9.01292e-16
3	51	9.00891e-16
3	52	8.99684e-16
3	53	8.97665e-16
3	54	8.94821e-16
3	55	8.91133e-16
3	56	8.86584e-16
3	57	8.81151e-16
3	58	8.74813e-16
3	59	8.67552e-16
3	60	8.59354e-16
3	61	8.50217e-16
3	62	8.40151e-16
3	63	8.29182e-16
3	64	8.17365e-16
3	65	8.04781e-16
3	66	7.91548e-16
3	67	7.77824e-16
3	68	7.77767e-16
3	69	7.75381e-16
3	70	7.78063e-16
3	71	7.6287e-16
3	72	7.83336e-16
3	73	7.88367e-16
3	74	7.85533e-16
3	75	7.88784e-16
3	76	7.9515e-16
3	77	8.01984e-16
3	78	8.01317e-16
3	79	8.10097e-16
3	80	8.09396e-16
3	81	8.05984e-16
3	82	8.0568e-16
3	83	7.96821e-16
3	84	8.01303e-16
3	85	8.03623e-16
3	86	8.01963e-16
3	87	8.08407e-16
3	88	8.06871e-16
3	89	8.00451e-16
3	90	8.04319e-16
3	91	8.15044e-16
3	92	8.24787e-16
3	93	8.33471e-16
3	94	8.41046e-16
3	95	8.47479e-16
3	96	8.52751e-16
3	97	8.56855e-16
3	98	8.59786e-16
3	99	8.61545e-16

4	0	8.62131e-16
4	1	8.61545e-16
4	2	8.59786e-16
4	3	8.56855e-16
4	4	8.52751e-16
4	5	8.47479e-16
4	6	8.41046e-16
4	7	8.33471e-16
4	8	8.24787e-16
4	9	8.15044e-16
4	10	8.04319e-16
4	11	7.92717e-16
4	12	7.80384e-16
4	13	7.72142e-16
4	14	7.73017e-16
4	15	7.65997e-16
4	16	7.78055e-16
4	17	7.74467e-16
4	18	7.76936e-16
4	19	7.82295e-16
4	20	7.8141e-16
4	21	7.89763e-16
4	22	7.85967e-16
4	23	7.81279e-16
4	24	7.84281e-16
4	25	7.69966e-16
4	26	7.77306e-16
4	27	7.81079e-16
4	28	7.81098e-16
4	29	7.72183e-16
4	30	7.75133e-16
4	31	7.69811e-16
4	32	7.70842e-16
4	33	7.77824e-16
4	34	7.91548e-16
4	35	8.04781e-16
4	36	8.17365e-16
4	37	8.29182e-16
4	38	8.40151e-16
4	39	8.50217e-16
4	40	8.59354e-16
4	41	8.67552e-16
4	42	8.74813e-16
4	43	8.81151e-16
4	44	8.86584e-16
4	45	8.91133e-16
4	46	8.94821e-16
4	47	8.97665e-16
4	48	8.99684e-16
4	49	9.00891e-16
4	50	9.01292e-16
