#1:n	2:kx	3:s(n,kx)
6	24	8.2455e-16
6	25	8.3169e-16
6	26	8.41009e-16
6	27	8.4625e-16
6	28	8.59436e-16
6	29	8.48577e-16
6	30	8.60911e-16
6	31	8.74179e-16
6	32	8.75968e-16
6	33	8.69307e-16
6	34	8.65532e-16
6	35	8.72877e-16
6	36	8.65969e-16
6	37	8.57235e-16
6	38	8.7816e-16
6	39	8.73188e-16

7	0	7.48829e-16
7	1	8.07802e-16
7	2	8.16956e-16
7	3	8.417e-16
7	4	8.26827e-16
7	5	8.36899e-16
7	6	8.51549e-16
7	7	8.4984e-16
7	8	8.43422e-16
7	9	8.66416e-16
7	10	8.52439e-16
7	11	8.65584e-16
7	12	8.58726e-16
7	13	8.36125e-16
7	14	8.3978e-16
7	15	8.1923e-16
7	16	8.26034e-16
7	17	8.15148e-16
7	18	8.18559e-16
7	19	8.16469e-16
7	20	8.1451e-16
7	21	8.26108e-16
7	22	8.18029e-16
7	23	8.16407e-16
7	24	8.24929e-16
7	25	8.31724e-16
7	26	8.42017e-16
7	27	8.47917e-16
7	28	8.59584e-16
7	29	8.50211e-16
7	30	8.66244e-16
7	31	8.77135e-16
7	32	8.77636e-16
7	33	8.71069e-16
7	34	8.72194e-16
7	35	8.76279e-16
7	36	8.71384e-16
7	37	8.57657e-16
7	38	8.81061e-16
7	39	8.80941e-16

8	0	7.53162e-16
8	1	8.11301e-16
8	2	8.17097e-16
8	3	8.4245e-16
8	4	8.2763e-16
8	5	8.36961e-16
8	6	8.51634e-16
8	7	8.50311e-16
8	8	8.46541e-16
8	9	8.72557e-16
8	10	8.5859e-16
8	11	8.67653e-16
8	12	8.63508e-16
8	13	8.40178e-16
8	14	8.45312e-16
8	15	8.26018e-16
8	16	8.27165e-16
8	17	8.172e-16
8	18	8.21781e-16
8	19	8.3008e-16
8	20	8.1567e-16
8	21	8.26343e-16
8	22	8.18256e-16
8	23	8.17681e-16
8	24	8.28815e-16
8	25	8.321e-16
8	26	8.45745e-16
8	27	8.59915e-16
8	28	8.61675e-16
8	29	8.64226e-16
8	30	8.71154e-16
8	31	8.77431e-16
8	32	8.81437e-16
8	33	8.71597e-16
8	34	8.74535e-16
8	35	8.81561e-16
8	36	8.79912e-16
8	37	8.63815e-16
8	38	8.81855e-16
8	39	8.83729e-16

9	0	7.55716e-16
9	1	8.14132e-16
9	2	8.25538e-16
9	3	8.44278e-16
9	4	8.29975e-16
9	5	8.42614e-16
9	6	8.5211e-16
9	7	8.546e-16
9	8	8.66068e-16
9	9	8.80202e-16
9	10	8.59784e-16
9	11	8.70831e-16
9	12	8.6569e-16
9	13	8.44617e-16
9	14	8.51132e-16
9	15	8.33811e-16
9	16	8.29795e-16
9	17	8.19329e-16
9	18	8.24451e-16
9	19	8.30277e-16
9	20	8.20663e-16
9	21	8.35984e-16
9	22	8.19273e-16
9	23	8.21815e-16
9	24	8.3272e-16
9	25	8.38446e-16
9	26	8.48729e-16
9	27	8.67909e-16
9	28	8.61925e-16
9	29	8.66554e-16
9	30	8.71464e-16
9	31	8.77925e-16
9	32	8.84558e-16
9	33	8.75443e-16
9	34	8.74747e-16
9	35	8.87051e-16
9	36	8.8516e-16
9	37	8.66252e-16
9	38	8.82525e-16
9	39	8.83836e-16

10	0	7.57564e-16
10	1	8.15342e-16
10	2	8.26181e-16
10	3	8.46234e-16
10	4	8.31285e-16
10	5	8.47208e-16
10	6	8.57285e-16
10	7	8.57697e-16
10	8	8.79847e-16
10	9	8.89648e-16
10	10	8.60396e-16
10	11	8.72221e-16
10	12	8.65765e-16
10	13	8.53368e-16
10	14	8.55978e-16
10	15	8.34817e-16
10	16	8.3825e-16
10	17	8.19802e-16
10	18	8.39617e-16
10	19	8.33743e-16
10	20	8.32963e-16
10	21	8.43108e-16
10	22	8.24068e-16
10	23	8.22224e-16
10	24	8.41242e-16
10	25	8.39524e-16
10	26	8.50608e-16
10	27	8.709e-16
10	28	8.64274e-16
10	29	8.69551e-16
10	30	8.74528e-16
10	31	8.88527e-16
10	32	8.86604e-16
10	33	8.80833e-16
10	34	8.78947e-16
10	35	8.95572e-16
10	36	8.8745e-16
10	37	8.88088e-16
10	38	8.8299e-16
10	39	8.91405e-16

11	0	7.75501e-16
11	1	8.16999e-16
11	2	8.3509e-16
11	3	8.4915e-16
11	4	8.37675e-16
11	5	8.5194e-16
11	6	8.67097e-16
11	7	8.61692e-16
11	8	8.79898e-16
11	9	8.89767e-16
11	10	8.67548e-16
11	11	8.80339e-16
11	12	8.68401e-16
11	13	8.53504e-16
11	14	8.61201e-16
11	15	8.37754e-16
11	16	8.39774e-16
11	17	8.23047e-16
11	18	8.49105e-16
11	19	8.44042e-16
11	20	8.43398e-16
11	21	8.47781e-16
11	22	8.3296e-16
11	23	8.29289e-16
11	24	8.45686e-16
11	25	8.52117e-16
11	26	8.54848e-16
11	27	8.98721e-16
11	28	8.6928e-16
11	29	8.70792e-16
11	30	8.77249e-16
11	31	8.88682e-16
11	32	8.90489e-16
11	33	8.81489e-16
11	34	8.81016e-16
11	35	9.03217e-16
11	36	8.97742e-16
11	37	8.88844e-16
11	38	8.84314e-16
11	39	8.93812e-16

12	0	7.76412e-16
12	1	8.20369e-16
12	2	8.47409e-16
12	3	8.52818e-16
12	4	8.41118e-16
