#1:kx	2:n	3:s(n)
2	65	1.42869e-17
2	66	1.44766e-17
2	67	1.44315e-17
2	68	1.44682e-17
2	69	1.44123e-17
2	70	1.44218e-17
2	71	1.44493e-17
2	72	1.43636e-17
2	73	1.44663e-17
2	74	1.44677e-17
2	75	1.43751e-17
2	76	1.45725e-17
2	77	1.45069e-17
2	78	1.45316e-17
2	79	1.45345e-17
2	80	1.47606e-17
2	81	1.4572e-17
2	82	1.45518e-17
2	83	1.44607e-17
2	84	1.4507e-17
2	85	1.47786e-17
2	86	1.47151e-17
2	87	1.46695e-17
2	88	1.46451e-17
2	89	1.47758e-17
2	90	1.45283e-17
2	91	1.47939e-17
2	92	1.46058e-17
2	93	1.45558e-17
2	94	1.4801e-17
2	95	1.46832e-17
2	96	1.47831e-17
2	97	1.46036e-17
2	98	1.487e-17
2	99	1.47912e-17

3	0	1.28482e-17
3	1	1.37388e-17
3	2	1.37115e-17
3	3	1.386e-17
3	4	1.3808e-17
3	5	1.37712e-17
3	6	1.37522e-17
3	7	1.38244e-17
3	8	1.38978e-17
3	9	1.38445e-17
3	10	1.39264e-17
3	11	1.39488e-17
3	12	1.40758e-17
3	13	1.40155e-17
3	14	1.41378e-17
3	15	1.41252e-17
3	16	1.41651e-17
3	17	1.42256e-17
3	18	1.42256e-17
3	19	1.42695e-17
3	20	1.43932e-17
3	21	1.44436e-17
3	22	1.42374e-17
3	23	1.44005e-17
3	24	1.43029e-17
3	25	1.44592e-17
3	26	1.43924e-17
3	27	1.44118e-17
3	28	1.44555e-17
3	29	1.46278e-17
3	30	1.44399e-17
3	31	1.45082e-17
3	32	1.4558e-17
3	33	1.43194e-17
3	34	1.42666e-17
3	35	1.4425e-17
3	36	1.44249e-17
3	37	1.45635e-17
3	38	1.45047e-17
3	39	1.44423e-17
3	40	1.44276e-17
3	41	1.43801e-17
3	42	1.44124e-17
3	43	1.45522e-17
3	44	1.47041e-17
3	45	1.45698e-17
3	46	1.45793e-17
3	47	1.4474e-17
3	48	1.45093e-17
3	49	1.46273e-17
3	50	1.43679e-17
3	51	1.44264e-17
3	52	1.44261e-17
3	53	1.46081e-17
3	54	1.45155e-17
3	55	1.43001e-17
3	56	1.43576e-17
3	57	1.43602e-17
3	58	1.41536e-17
3	59	1.42744e-17
3	60	1.42675e-17
3	61	1.43259e-17
3	62	1.43748e-17
3	63	1.4493e-17
3	64	1.43399e-17
3	65	1.444e-17
3	66	1.45671e-17
3	67	1.45701e-17
3	68	1.44841e-17
3	69	1.4482e-17
3	70	1.46089e-17
3	71	1.44676e-17
3	72	1.44175e-17
3	73	1.44708e-17
3	74	1.44992e-17
3	75	1.44268e-17
3	76	1.45902e-17
3	77	1.45945e-17
3	78	1.4611e-17
3	79	1.46351e-17
3	80	1.48049e-17
3	81	1.4575e-17
3	82	1.4561e-17
3	83	1.46282e-17
3	84	1.45431e-17
3	85	1.48387e-17
3	86	1.47415e-17
3	87	1.47069e-17
3	88	1.46863e-17
3	89	1.47839e-17
3	90	1.46631e-17
3	91	1.47988e-17
3	92	1.461e-17
3	93	1.46634e-17
3	94	1.48222e-17
3	95	1.47277e-17
3	96	1.48256e-17
3	97	1.47688e-17
3	98	1.49217e-17
3	99	1.48132e-17

4	0	1.28505e-17
4	1	1.37419e-17
4	2	1.37322e-17
4	3	1.39007e-17
4	4	1.38538e-17
4	5	1.37785e-17
4	6	1.38348e-17
4	7	1.39034e-17
4	8	1.39186e-17
4	9	1.39035e-17
4	10	1.40201e-17
4	11	1.39935e-17
4	12	1.41845e-17
4	13	1.40592e-17
4	14	1.41482e-17
4	15	1.41622e-17
4	16	1.42106e-17
4	17	1.425e-17
4	18	1.42599e-17
4	19	1.43171e-17
4	20	1.44225e-17
4	21	1.44603e-17
4	22	1.42527e-17
4	23	1.44249e-17
4	24	1.43784e-17
4	25	1.44893e-17
4	26	1.44476e-17
4	27	1.44359e-17
4	28	1.44631e-17
4	29	1.46317e-17
4	30	1.44556e-17
4	31	1.45106e-17
4	32	1.46308e-17
4	33	1.43278e-17
4	34	1.43118e-17
4	35	1.44372e-17
4	36	1.44648e-17
4	37	1.4581e-17
4	38	1.45522e-17
4	39	1.44842e-17
4	40	1.45579e-17
4	41	1.44216e-17
4	42	1.45341e-17
4	43	1.46019e-17
4	44	1.47299e-17
4	45	1.46029e-17
4	46	1.46094e-17
4	47	1.44854e-17
4	48	1.46266e-17
4	49	1.46504e-17
4	50	1.44047e-17
4	51	1.45233e-17
4	52	1.45842e-17
4	53	1.46154e-17
4	54	1.45196e-17
4	55	1.43804e-17
4	56	1.43678e-17
4	57	1.43755e-17
4	58	1.42498e-17
4	59	1.43111e-17
4	60	1.4351e-17
4	61	1.4337e-17
4	62	1.4436e-17
4	63	1.45506e-17
4	64	1.44172e-17
4	65	1.45074e-17
4	66	1.46606e-17
4	67	1.45743e-17
4	68	1.45516e-17
4	69	1.45144e-17
4	70	1.46257e-17
4	71	1.45849e-17
4	72	1.44945e-17
4	73	1.45313e-17
4	74	1.45531e-17
4	75	1.44955e-17
4	76	1.46034e-17
